,full_text,created_at
0,#LokerPam - HR Service - Cikarang https://t.co/RfOECWcy8f,2023-04-04 09:41:37+00:00
1,@Box2BoxBola keren emang bek asal cikarang satu ini https://t.co/Q4D7paDmZx,2023-04-01 12:32:53+00:00
2,"Lebaran tahun ini ga usah beli baju mahal-mahal, soalnya yang bakal di tanyain nanti bukan berapa harga baju mu, tapi kapan kamu nikah.",2023-04-04 02:10:44+00:00
3,"Alhamdulillah, udah mulai banyak hal baik 💙🧡 @Jakmania_CKR https://t.co/UDO7SrfENw",2023-04-01 07:05:07+00:00
4,"Kerja memang capek tapi lebih capek cari pekerjaan

#Cikarang
#mirisSedih https://t.co/HN691X5i3C",2023-04-03 07:37:38+00:00
5,"baru sampe sini, cikarang oh... cikarangggg https://t.co/7o8faB9MMe",2023-03-29 15:56:14+00:00
6,"Open msszge area cikarang start from jam 19.00-capek khusus puasa bisa in out d zamin puas
Wa  https://t.co/q684g03YTq
ig . bk.801
#pijatcikarang
#pijatsensual 
#pijatpria 
#pijatenak 
#pijatbekasi
#pijatvitalitas 
#Therapist 
#massage_bodytobody 
#MassageFullBodyMassage https://t.co/vWhbERIwGy",2023-03-27 12:10:04+00:00
7,"Cekcok warga yg tegur  pemotor naik ke trotoar di Jalan layang Cikarang, kota, Cikarang Utara arah SGC.

Seorang warga tegur para pengendara yg menaiki trotoar di jalan layang Cikarang kota, Cikarang Utara Kabupaten Bekasi, Selasa pagi  28/03/2023 . https://t.co/YCNX47wpnM",2023-03-29 05:32:48+00:00
8,WARGA CIKARANG DAN SEKITARNYA AYOOO BURUAN HUBUNGI AKU!!! BANTU LIKE DAN RT DONG HEHEHEHEHEHEHEH💕💕💞💞😍💓💗❣️😘 https://t.co/APUP6IBMSq,2023-04-02 15:13:16+00:00
9,@niki10ts @asahi10ts @michael10ts @sophia10ts Halah diem dah lu warga cikarang,2023-04-04 09:55:14+00:00
10,"➡️ Available massage &amp; happy ending
➡️ Incall/outcall ready
➡️ cikarang area dan luar kota
(Privasi no 1)
Info &amp; resrvasi
📲 https://t.co/PoL6mQVojH 

#cikarangpijit #pijatcikarang https://t.co/jxZzFfLExE",2023-03-29 04:58:16+00:00
11,"Lagi rame di akun ini..
Eh malah meninggoy🤭😊 https://t.co/dNoSWN4D4l",2023-03-29 08:39:48+00:00
12,Gegayaan ngechat Ibu nya duluan giliran di bales bingung kan mau jawab apa 😅 https://t.co/KhipqAaf8s,2023-04-04 08:31:24+00:00
13,Cikarang di guyur hujan 😁,2023-03-27 10:06:07+00:00
14,"hay Cikarang... aku hari ini move Cikarang loh..  🤗🤗
jamkosong di jam 9 malem sampe cek out .. cm untuk 1 org aja yaa..
yukkk gercep keep dp nya.. yg mau echa pijitin sebelum bobo.. 🥰🥰 https://t.co/RG6pMQPWRZ",2023-04-01 04:18:05+00:00
15,Jauh Cikarang 🥲 https://t.co/dhlw5LPKjY,2023-03-29 08:42:26+00:00
16,@starfess enih ngabers menteng sama ngabers cikarang https://t.co/wLJdwaC7W1,2023-04-03 07:05:39+00:00
